Team Number,Ranking Score,Auto Points,Climbing Points,Teleop Shooting + Wheel,Ranking Position (0 is avg)
frc1690,2.27,466,540,569,1 / 32
frc1954,0.36,319,255,241,32 / 32
frc2231,1.36,339,375,328,11 / 32
frc2630,1.36,370,270,243,10 / 32
frc2679,0.63,301,290,130,27 / 32
frc3065,1.36,372,290,331,9 / 32
frc3075,1.18,465,335,257,17 / 32
frc3316,0.63,291,300,93,28 / 32
frc3339,1.9,432,425,303,2 / 32
frc3388,1.27,345,365,183,16 / 32
frc3835,0.72,290,250,137,25 / 32
frc4319,0.54,269,345,148,30 / 32
frc4320,0.63,269,165,166,29 / 32
frc4338,1.27,395,425,236,14 / 32
frc4416,0.72,214,330,162,26 / 32
frc4661,1.09,320,445,216,20 / 32
frc4744,1.09,341,255,248,19 / 32
frc5614,1.27,353,405,235,15 / 32
frc5635,1.54,328,430,187,5 / 32
frc5654,1,310,265,131,23 / 32
frc5951,0.9,314,305,210,24 / 32
frc5987,1.54,414,375,310,4 / 32
frc6049,1.18,298,345,177,18 / 32
frc6104,1.27,401,380,267,13 / 32
frc6168,1,365,345,171,21 / 32
frc6736,1.36,282,465,187,12 / 32
frc7039,1.45,372,380,302,6 / 32
frc7067,1.81,375,480,262,3 / 32
frc7177,1.36,375,385,250,8 / 32
frc8175,1.45,368,365,247,7 / 32
frc8340,0.45,233,230,143,31 / 32
